,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
0,Tamara Konfitüre extra Erdbeer,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22
1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,0.505
2,Coca Cola,2.89,100 ml,"6 x 0,33 L, 1.98 L",aldi-nord,0.146
3,Trader Joes / Aldi Nord  Eistee Zitrone,0.49,100 ml,"Pet Flasche 1,5L",aldi-nord,0.033
4,Iglo Fischstäbchen,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,0.776
5,Ofterdinger Aldi Nord Pellkartoffelsalat mit Ei und Gurke,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149
6,Nusskati Nuss Nougat Creme,1.29,100 Gramm,Glas 400 Gramm,aldi-nord,0.323
7,"Mama Mancini Pizza 3-er Pack Edelsalami, 3 x 350 g",2.59,100 Gramm,Packung 1050 Gramm,aldi-nord,0.25
8,Landbeck / Aldi Nord Bockwurst im zarten Saitling,5.49,100 Gramm,Dose 1650 Gramm,aldi-nord,0.333
9,Sprengel / Aldi Nord Herz Kirschen,1.79,100 Gramm,Packung 250 Gramm,aldi-nord,0.72
10,Delikato Tomaten Ketchup,0.79,100 ml,Dosierflasche 500 ML,aldi-nord,0.158
11,Gut Drei Eichen Hausmacher Jagdwurst,1.79,100 Gramm,Glas 250 Gramm,aldi-nord,0.72
12,Hallbauer / Aldi Nord Frischkäse,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.33
13,Markus Kaffee Gold fein-würzig,3.19,100 Gramm,Packung 500 Gramm,aldi-nord,0.638
14,Ofterdinger Aldi Nord Kartoffelsalat mit Creme Fraiche,1.49,100 Gramm,Becher 1 KG,aldi-nord,0.149
15,Pottkieker Erbsen Eintopf mit geräuchertem Schweinebauch,0.99,100 Gramm,Dose 800 Gramm,aldi-nord,0.124
16,Goldähren Butter Toast geschnitten,0.69,100 Gramm,Beutel 500 Gramm,aldi-nord,0.13799999999999998
17,Buttella Raps Vitalöl Kaltgepresst,0.99,100 ml,Flasche Glas 0.5 L,aldi-nord,0.198
18,Meica Curry King,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,0.68
