,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
0,Almare Sahne Heringsfilets in Sahnesauce,1.35,100 Gramm,Schale 400 Gramm,aldi-sued,0.33799999999999997
1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079
2,Desira Grieß Pudding Pur,0.35,100 Gramm,Becher 175 Gramm,aldi-sued,0.2
3,"bio Aldi Süd frische Bio-Vollmilch längerfrisch, 3,8% Fett",1.05,100 ml,Getränkekarton 1 L,aldi-sued,0.10500000000000001
4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442
5,Landvogt Original Schwäbische Maultaschen mit einer leckeren Fleisch-Füllung,1.29,100 Gramm,Packung 360 Gramm,aldi-sued,0.36
6,Choco Bistro Doppelino Haselnusskekse mit Cremefüllung,1.69,100 Gramm,Packung 500 Gramm,aldi-sued,0.34
7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787
8,Aldi Süd bio Honig flüssig,3.55,100 Gramm,Glas 500 Gramm,aldi-sued,0.71
9,Choceur Aldi Süd Schoko Milch Riegel,1.29,100 Gramm,Packung 200 Gramm,aldi-sued,0.65
10,Bio Aldi Süd Bio Hackfleisch gemischt,3.59,100 Gramm,Packung 400 Gramm,aldi-sued,0.898
11,Aldi Süd bio Eier M / L,2.69,Preis pro Stück,Packung 10 Stück,aldi-sued,0.27
12,Milfina  H- Schmand,0.53,100 Gramm,Becher 200 Gramm,aldi-sued,0.27
13,Aldi Süd bio Garnelen,4.49,100 Gramm,Packung 250 Gramm,aldi-sued,1.8
14,Aldi Süd bio Butter,2.29,100 Gramm,Packung 250 Gramm,aldi-sued,0.92
15,Choceur Mints Pfefferminz-Creme-Füllung,1.79,100 Gramm,Packung 300 Gramm,aldi-sued,0.6
16,Desira Frucht auf Joghurt Pfirsich Maracuja,0.35,100 Gramm,Becher 150 Gramm,aldi-sued,0.23
17,la finesse Aldi Süd Kartoffel Knuspertaschen mit Frischkäse,1.89,100 Gramm,Beutel 600 Gramm,aldi-sued,0.315
18,Wiha Aldi Süd Nussknacker mit ganzen Nüssen,0.59,100 Gramm,,aldi-sued,0.0
19,Cucina Lasagne Bolognese,2.99,100 Gramm,Packung 1000 Gramm,aldi-sued,0.29900000000000004
20,"Sweet Valley Schattenmorellen entsteint, gezuckert",0.79,100 Gramm,Glas 680 Gramm,aldi-sued,0.11599999999999999
21,Aldi Süd Irische Butter,1.59,100 Gramm,Packung 250 Gramm,aldi-sued,0.64
22,rio d oro Premium Apfel Direktsaft naturtrüb,0.79,100 ml,Getränkekarton 1 L,aldi-sued,0.079
23,Alpenmark Emmentaler gerieben,1.39,100 Gramm,Beutel 200 Gramm,aldi-sued,0.7
24,rio d oro Orangensaft Premium Direktsaft direkt gepresst,1.49,100 ml,Flasche Kunststoff 1 L,aldi-sued,0.149
25,Knusperone Honey Rings,1.99,100 Gramm,Packung 600 Gramm,aldi-sued,0.33199999999999996
26,Milfina Süßrahmbutter,1.39,100 Gramm,Packung 250 Gramm,aldi-sued,0.56
27,Dr. Oetker Rote Grütze herrlich fruchtig,1.99,100 Gramm,Becher 500 Gramm,aldi-sued,0.398
28,Milfina Schlag-Sahne Sprühsahne,1.09,100 ml,Sprühflasche 250 ML,aldi-sued,0.44
29,Choceur Feine Mozartkugeln Vollmilch,1.99,100 Gramm,Packung 200 Gramm,aldi-sued,1.0
30,Choceur Schokolade Alpenmilch,0.49,100 Gramm,Tafel 100 Gramm,aldi-sued,0.49
31,rio d oro Apfelsaft aus Apfelsaftkonzentrat,0.59,100 ml,Getränkekarton 1 L,aldi-sued,0.059
32,Geka Chicken Nuggets Cornflakes Sweet Chili,1.99,100 Gramm,Packung 200 Gramm,aldi-sued,1.0
33,rio d oro Blutorangen Direktsaft,1.79,100 ml,Flasche Kunststoff 1 L,aldi-sued,0.179
34,Gartenkrone Rahmspinat mild gewürzt,0.49,100 Gramm,Packung 450 Gramm,aldi-sued,0.10900000000000001
35,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.8559999999999999
36,Aldi Süd Farmer Cashews geröstet und gesalzen,1.69,100 Gramm,,aldi-sued,1.13
37,Milfina Deutsche Markenbutter mild gesäuert,1.49,100 Gramm,Packung 250 Gramm,aldi-sued,0.6
38,alio Geschirr Reiniger Tabs All in One,2.95,Preis pro 100 Stück,Packung 40 Stück,aldi-sued,7.38
39,Almare Dill Sahne Heringsfilets in Dill-Sahnesauce mit feinen Dillgurken,1.35,100 Gramm,Becher 400 Gramm,aldi-sued,0.33799999999999997
40,Belmont Aldi Süd Hofer Instant Volles Aroma,3.79,100 Gramm,Glas 200 Gramm,aldi-sued,1.9
41,Milfina streichfein ungesalzen Butter mit Rapsöl,1.29,100 Gramm,Packung 250 Gramm,aldi-sued,0.52
42,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",aldi-sued,0.309
