,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
0,Nutella,3.79,100 Gramm,Vorteils Glas 1000 Gramm,kaufland,0.379
1,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",kaufland,0.753
2,Luna Deutsches Suppenhuhn HKL A - ohne Innereien,7.99,100 Gramm,Folie 2800 Gramm,kaufland,0.28500000000000003
3,Lätta Halbfettmargarine Original,1.79,100 Gramm,Becher 500  Gramm,kaufland,0.358
4,Kinder Schokolade,1.39,100 Gramm,"Tafel 125 Gramm10 Stück, 8 + 2 gratis",kaufland,1.11
5,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,kaufland,0.96
6,Rougette Ofenkäse fein-würzig  60% Fett,4.29,100 Gramm,Packung 320 Gramm,kaufland,1.34
7,"Müller Müllermilch Schoko, 1,5 % Fett",0.99,100 Gramm,Flasche Kunststoff 400 Gramm,kaufland,0.248
8,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",kaufland,0.71
9,Schöfferhofer Grapefruit,3.96,100 ml,Pack 1.98 L,kaufland,0.2
10,K Classic Weißwürste Münchner Art,1.99,100 Gramm,Packung 300 Gramm,kaufland,0.66
11,"Patros Feta Natur,  40% Fett",2.19,100 Gramm,Packung 180 Gramm,kaufland,1.217
12,Becel Gold 70 % Fett,1.39,100 Gramm,Becher 250 Gramm,kaufland,0.56
13,"Landliebe Landkäse Original, 50 % Fett",1.99,100 Gramm,Packung 175 Gramm,kaufland,1.14
14,Meica Curry King,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95
15,Coca Cola,11.4,100 ml,"Kasten 12 L, 12 x 1l",kaufland,0.095
16,"K Classic Chicken Wings Barbecue, pikant gewürzt",2.99,100 Gramm,Beutel 1 kg XXL,kaufland,0.29900000000000004
17,Clausthaler Classic,3.78,100 ml,Pack 1.98 L,kaufland,0.191
18,Oettinger Original Pils,6.4,100 ml,Kasten 10 L,kaufland,0.064
19,Merl Zarte Heringsfilets in Sahnesauce,1.99,100 Gramm,Becher 250 Gramm,kaufland,0.796
20,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",kaufland,0.309
21,Escal  Flammkuchen Original Elsäßer,1.89,100 Gramm,Packung 260 Gramm,kaufland,0.73
22,Zott Monte Butterkeks Zwei Kammer Becher,0.79,100 Gramm,Packung 125 Gramm,kaufland,0.63
23,Tillmans Hamburger vom Rind,4.99,100 Gramm,Beutel 12 Stück,kaufland,0.0
24,Escal  Apfel Flammkuchen,1.89,100 Gramm,Packung 300 Gramm,kaufland,0.63
25,Arla Kaergarden ungesalzen,2.19,100 Gramm,Becher 250 Gramm,kaufland,0.88
26,Meggle die Alpenbutter,2.19,100 Gramm,Packung 250  Gramm,kaufland,0.88
27,Lorenz Crunchips Paprika,1.39,100 Gramm,Beutel 175 Gramm,kaufland,0.79
28,Becks Pils,16.4,100 ml,"20 x 0,5 L, Kasten 10 L",kaufland,0.16399999999999998
29,Kinder Bueno,1.99,100 Gramm,"Packung 129 Gramm, 6 Stück",kaufland,1.54
30,K Classic Sonnenblumenöl,0.99,100 ml,Flasche Kunststoff 1000 ML,kaufland,0.099
31,Hanuta Haselnuss Schnitte,1.99,100 Gramm,"Packung 220 Gramm, 10er",kaufland,0.9
32,K Classic Pizza American Style Supreme,1.99,100 Gramm,Packung 440 Gramm,kaufland,0.45199999999999996
33,K Classic Weizenmehl Type 405,0.69,100 Gramm,Packung 2kg,kaufland,0.034999999999999996
34,Mini Babybel rot 45% Fett,2.54,100 Gramm,"Netz 180 Gramm, 9 x 20 Gramm",kaufland,1.41
35,Breffod Kaninchenkeulen aus Bodenhaltung,9.99,100 Gramm,Packung 1000 Gramm,kaufland,0.999
36,Frosta Schlemmer-Filet Knusper Bordelaise,2.99,100 Gramm,Packung 360 Gramm,kaufland,0.8310000000000001
37,K Classic Jodsalz mit Fluorid,0.19,100 Gramm,Packung 500 Gramm,kaufland,0.038
38,Rama Margarine Classic,1.69,100 Gramm,"Familienpackung, Becher 1000 Gramm",kaufland,0.16899999999999998
39,Iglo Schlemmer-Filet Classic a la Bordelaise,2.89,100 Gramm,Packung 380 Gramm,kaufland,0.761
40,Kölln Blütenzarte Köllnflocken,1.29,100 Gramm,Packung 500 Gramm,kaufland,0.258
41,Paulaner Hefeweizen Naturtrüb,17.8,100 ml,"Kasten 10 L, 20 x 0,5l",kaufland,0.178
42,Original Wagner Steinofen Pizza Salami,2.29,100 Gramm,Packung 320  Gramm,kaufland,0.72
43,Danone Dany Sahne Schoko 4-er,1.79,100 Gramm,"Packung 460 Gramm, 4 x 115g",kaufland,0.39
44,Erasco Hühner Nudeltopf mit frischem Gemüse,2.59,100 Gramm,Dose 800 Gramm,kaufland,0.324
