,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
0,Ja! Briespitze 60% Fett,1.19,100 Gramm,Packung 200 Gramm,rewe,0.6
1,REWE Beste Wahl Brie 45% Fett,0.69,100 Gramm,Packung 100 Gramm,rewe,0.69
2,REWE Beste Wahl Ziegenfrischkäse Mousse 73%,1.99,100 Gramm,Becher 125 Gramm,rewe,1.59
3,Rewe Brie 45% Fett,0.79,100 Gramm,Packung 100 Gramm,rewe,0.79
4,Nutella,3.79,100 Gramm,Glas 750 Gramm,rewe,0.505
5,Coca Cola,0.99,100 ml,Pet-Flasche 1.5 L,rewe,0.066
6,ja! Balkan-Käse 45% Fett,1.09,100 Gramm,Packung 250 Gramm,rewe,0.43600000000000005
7,"Ja! Pizza Margherita, 3 x 300 g",1.99,100 Gramm,Packung 900 Gramm,rewe,0.22
8,"Ja! Schokotrunk 3,5% Fett",0.49,100 ml,Getränkekarton  0.5 L,rewe,0.098
9,ja! Delikatess Leberwurst fein,0.99,100 Gramm,Dose 175 Gramm,rewe,0.57
10,ja! Orangensaft aus Orangensaftkonzentrt,0.95,100 ml,Flasche 1 Liter,rewe,0.095
11,Küstenland Die Frische Sahnige,1.49,100 Gramm,Becher 250 Gramm,rewe,0.6
12,Becel Gold 70 % Fett,1.49,100 Gramm,Becher 250 Gramm,rewe,0.6
13,Oettinger Original Pils,6.99,100 ml,Kasten 10 L,rewe,0.06999999999999999
14,Iglo Fischstäbchen,1.77,100 Gramm,"15er, Packung 450 Gramm",rewe,0.393
15,Merl Zarte Heringsfilets in Sahnesauce,3.39,100 Gramm,Becher 500 Gramm,rewe,0.678
16,Ja! Nuss-Nougat-Creme,1.29,100 Gramm,Glas 400 Gramm,rewe,0.323
17,Ja! Sonnenblumen Margarine,0.79,100 Gramm,Becher 500 Gramm,rewe,0.158
18,"Ja! Käseaufschnitt Edamer, Tilsiter und Emmentaler",1.39,100 Gramm,Packung 250 Gramm,rewe,0.56
19,Ja!  Geflügelfleischwurst,1.49,100 Gramm,Vakuum 400 Gramm,rewe,0.373
20,Clausthaler Classic,3.79,100 ml,Pack 1.98 L,rewe,0.191
21,ja! Tomatencreme Suppe,0.79,100 ml,Dose 400 ML,rewe,0.198
22,Oryza  Himalaya Basmati Reis lose,2.89,100 Gramm,Packung 500 Gramm,rewe,0.5780000000000001
23,ja! Alpenvollmilch Schokolade,0.49,100 Gramm,,rewe,0.49
24,Ja! Wildlachsfilets,2.79,100 Gramm,Packung 250 Gramm,rewe,1.12
25,Ja! Sahne Heringsfilets nach Hausfrauen Art,1.35,100 Gramm,Becher 400 Gramm,rewe,0.33799999999999997
26,Ja! Mozzarella 45% Fett,0.69,100 Gramm,Packung 125 Gramm,rewe,0.55
27,"Ja! H fettarme Milch 1,5% Fett",0.65,100 ml,Getränkekarton 1 L,rewe,0.065
28,Ja! Langkorn-Spitzenreis 4 x 125 g - im Kochbeutel,0.59,100 Gramm,Packung 500 Gramm,rewe,0.118
29,Ja! Bayerischer Leberkäse,2.39,100 Gramm,Vakuum 400 Gramm,rewe,0.5980000000000001
30,Ja!  Wiener Würstchen,2.79,100 Gramm,Packung 400 Gramm,rewe,0.6980000000000001
31,REWE Beste Wahl Pfannengyros,2.99,100 Gramm,Packung 500 Gramm,rewe,0.5980000000000001
32,Ja!  Baguette Brötchen 6 Stück,0.39,100 Gramm,Beutel 300 Gramm,rewe,0.13
33,ja! Lasagne Bolognese,2.99,100 Gramm,Packung 1 KG,rewe,0.29900000000000004
34,ja! Paniermehl,0.79,100 Gramm,Packung 1000 Gramm,rewe,0.079
35,Lätta Halbfettmargarine Original,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198
36,Meica Curry King,1.69,100 Gramm,Packung 220 Gramm,rewe,0.77
37,Meica Bratmaxe,3.59,100 Gramm,Packung 313 Gramm,rewe,1.15
38,"Iglo Filegro Backfisch Traditioneller Ofen-Backfisch, 2 Stück",1.88,100 Gramm,Packung 240 Gramm,rewe,0.78
39,ja! Festtagssuppe mit Fleischklößchen und Eierstich,0.49,100 Gramm,Tafel 100 Gramm,rewe,0.49
40,ja! Alpenvollmilch Nuss Schokolade,1.79,100 Gramm,Packung 250 Gramm,rewe,0.72
41,ja! Schinkenwürfel 2 x 125 g,1.99,100 Gramm,Packung 750 Gramm,rewe,0.265
42,Ja! Mini Zimtos,0.95,100 ml,Dose 314 ML,rewe,0.3
43,Ja! Mandarin - Orangen leicht gezuckert,2.59,100 Gramm,"Packung 300  Gramm, 24 Stück",rewe,0.86
44,"Ja! Rahm Camembert oval, 60% Fett",1.19,100 Gramm,Packung 200  Gramm,rewe,0.6
45,Ja! Frischkäse Natur,0.99,100 Gramm,Packung 300 Gramm,rewe,0.33
46,Ja!  Edelsalami am Stück,3.3,100 Gramm,Vakuum 500 Gramm,rewe,0.6599999999999999
47,Ja! Speisequark Magerstufe,0.69,100 Gramm,Becher 500  Gramm,rewe,0.13799999999999998
48,Ja!  Fischstäbchen,1.99,100 Gramm,Packung 450 Gramm,rewe,0.442
49,"Ja! Frische fettarme Milch traditionell hergestellt, 1,5% Fett",0.65,100 ml,Getränkekarton 1 L,rewe,0.065
50,Ja!  Kroketten tiefgefroren,1.19,100 Gramm,Beutel 750 Gramm,rewe,0.159
51,ja! Original Nürnberger Rostbratwürste,2.49,100 Gramm,Packung 300 Gramm,rewe,0.83
52,Ja! Konfitüre extra Erdbeer,0.99,100 Gramm,Glas 450 Gramm,rewe,0.22
53,Ja!  Mini Salami 2 x  25 g,1.11,100 Gramm,Packung 4 x 25 Gramm,rewe,1.11
54,Ja! Streichgut ungesalzen Butter mit Rapsöl,1.39,100 Gramm,Packung 250 Gramm,rewe,0.56
55,ja! Geflügel Wiener,1.87,100 Gramm,Packung 300 Gramm,rewe,0.62
56,"Ja! Heringsfilets geteilt, in Tomatensauce",0.79,100 Gramm,Dose 200 Gramm,rewe,0.4
57,Ja! Pflaumenmus,0.99,100 Gramm,Glas 450 Gramm,rewe,0.22
58,Weideglück Sahne-Joghurt nach griechischer Art,1.59,100 Gramm,Becher 1000 Gramm,rewe,0.16
59,ja! Bauernbrot geschnitten,0.69,100 Gramm,Beutel 500 Gramm,rewe,0.13799999999999998
60,Rewe Beste Wahl Sprühsahne 35% Fett,1.59,100 ml,Sprühflasche 250 ML,rewe,0.64
61,Ja! Spaghetti Italienische Art,0.75,100 Gramm,Packung 397 Gramm,rewe,0.19
62,ja! Chicken Nuggets,2.49,100 Gramm,Packung 500 Gramm,rewe,0.49800000000000005
63,Ja! Pflanzen Margarine,0.75,100 Gramm,Becher 500 Gramm,rewe,0.15
64,Sylter Salatfrische Dressing,1.29,100 ml,Flasche Glas 250 ML,rewe,0.52
65,ja! Gelierzucker 2 : 1,0.55,100 Gramm,Packung 500 Gramm,rewe,0.11000000000000001
66,ja! Zarte Würstchen,1.09,100 Gramm,Packung 200 Gramm,rewe,0.55
67,ja! Frische Eierspätzle,0.99,100 Gramm,Beutel 500 Gramm,rewe,0.198
68,Danone Actimel Classic,1.99,100 Gramm,Packung 800 Gramm,rewe,0.24900000000000003
69,Vinzenzmurr Saure Lunge,3.29,100 ml,Dose 800 ML,rewe,0.41100000000000003
70,Iglo Schlemmer-Filet Classic a la Bordelaise,1.79,100 Gramm,Packung 380 Gramm,rewe,0.471
71,ja! Rostbratwurst,2.59,100 Gramm,Vakuum 540 Gramm,rewe,0.48
72,Ja! Spaghetti mit Käse Sauce,0.75,100 Gramm,Packung 315 Gramm,rewe,0.24
73,ja! Hähnchenbrust Filetsteaks,2.99,100 Gramm,Packung 400 Gramm,rewe,0.748
74,Ja! Branntweinessig hell,0.39,100 ml,Flasche Glas 1 L,rewe,0.039
75,Ja! Magermilch Joghurt mild natur,0.18,100 Gramm,Becher 150 Gramm,rewe,0.12
76,Ja! Tomaten Ketchup,0.79,100 ml,Flasche Glas 500 ML,rewe,0.158
77,ja! Remoulade mit 65% Rapsöl,0.95,100 ml,Flasche Kunststoff 500 ML,rewe,0.19
78,Ja!  Backofen Pommes Frites,0.79,100 Gramm,Beutel 1000 Gramm,rewe,0.079
79,Ja! Salami in Scheiben,1.39,100 Gramm,Packung 200 Gramm,rewe,0.7
80,Ja! Rheinische Schinkenwurst in Scheiben,0.99,100 Gramm,Packung 200 Gramm,rewe,0.5
81,"Ja! Delikatess Putenbrust gegart mit feiner Rauchnote, in Scheiben",0.95,100 Gramm,Packung 100 Gramm,rewe,0.95
82,Ja! Cervelatwurst in Scheiben,1.39,100 Gramm,Packung 200 Gramm,rewe,0.7
83,"ja! Delikatess Kochschinken geschnitten, in Scheiben",1.39,100 Gramm,Vakuum 200 Gramm,rewe,0.7
84,Ja!  Fleischwurst im Ring,2.79,100 Gramm,Vakuum 650 Gramm,rewe,0.429
85,Ja! Doppelkeks,0.99,100 Gramm,Rolle 500  Gramm,rewe,0.2
86,ja! Feine Eierplätzchen,1.19,100 Gramm,,rewe,0.3
87,"Ja!  H-Vollmilch 3,5% Fett",0.73,100 ml,Getränkekarton 1 L,rewe,0.073
88,Ja! Feine Salzstangen,0.39,100 Gramm,Beutel 250  Gramm,rewe,0.16
89,Ja! Schmand 24% Fett,0.53,100 Gramm,Becher 200  Gramm,rewe,0.27
90,Ja! Erdnussflips,0.69,100 Gramm,Beutel 200  Gramm,rewe,0.35
91,Ja! Frischkäse mit Kräutern,0.99,100 Gramm,Packung 300 Gramm,rewe,0.33
92,Zentis Nusspli Nuss Nougat Creme,1.11,100 Gramm,Becher 400 Gramm,rewe,0.27799999999999997
93,"REWE frei von H Vollmilch 3,5% Fett",1.09,100 ml,Getränkekarton 1000 ML,rewe,0.10900000000000001
94,"Rewe Bio Fettarme H Milch 1,5% Fett",0.99,100 ml,Getränkekarton 1 L,rewe,0.099
95,W. Brandenburg Peitschen,1.99,100 Gramm,Packung 100 Gramm,rewe,1.99
96,ja! Cornichons,1.19,100 ml,Glas 720 ML,rewe,0.17
97,ja! Roggenvollkornbrot geschnitten,0.79,100 Gramm,Beutel 500 Gramm,rewe,0.158
98,"Ja! Süßstoff Tabletten, 1200 Stück",0.85,Preis pro 100 Stück,Dose 1200 Stück,rewe,0.07
99,Ja! Bierschinken in Scheiben,1.39,100 Gramm,Packung 200 Gramm,rewe,0.7
100,"Ja! Gouda Holland mittelalt in Scheiben, 48% Fett",1.89,100 Gramm,Packung 300  Gramm,rewe,0.63
101,Dr. Oetker Die Ofenfrische Pizza Speciale,2.49,100 Gramm,Packung 405 Gramm,rewe,0.61
102,Notos Schafskäse min. 50% Fett i. Tr.,0.99,100 Gramm,Tafel 100 Gramm,rewe,0.99
103,Rewe Deutsches Corned Beef 2% Fett,1.19,100 Gramm,Packung 100 Gramm,rewe,1.19
104,ja! Rotkohl tafelfertig,0.55,100 Gramm,Glas 720 Gramm,rewe,0.076
105,ja! 10 frische Eier aus Bodenhaltung Klasse M-L,1.29,Preis pro Stück,Packung 10 Stück,rewe,0.13
106,Hela Curry Gewürz Ketchup delikat,1.79,100 ml,Flasche Kunststoff 800 ML,rewe,0.22400000000000003
107,Bonta Divina Tiramisu,3.33,100 Gramm,Packung 500 Gramm,rewe,0.67
108,Ja! Geflügel Mortadella,0.89,100 Gramm,Packung 200 Gramm,rewe,0.45
109,Coca Cola Zero,1.65,100 ml,Pet-Flasche 2 L,rewe,0.08299999999999999
