,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
0,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
1,"Dulano Delikatess Wiener Würstchen knackig und zart,  2 x 200 g",2.79,100 Gramm,Packung 400 Gramm,lidl,0.6980000000000001
2,Gebirgsjäger Delikatess Frikadellen 5 Stück,1.99,100 Gramm,Packung 500 Gramm,lidl,0.398
3,Nutella,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.399
4,Master Crumble Schoko-Knusper,1.79,100 Gramm,Packung 750 Gramm,lidl,0.23900000000000002
5,Iglo Fischstäbchen,3.39,100 Gramm,"15er, Packung 450 Gramm",lidl,0.753
6,Winarom Delikatess Senf scharf,0.29,100 ml,Glas 250 ML,lidl,0.12
7,Oldenhäuser Frühstücksfleisch,1.49,100 Gramm,Dose 340 Gramm,lidl,0.44
8,Milka Alpenmilch Schokolade,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09
9,Golden Sun Spitzen Langkornreis im Kochbeutel,1.15,100 Gramm,"Packung 1000 Gramm, 8 x 125 Gramm",lidl,0.11499999999999999
10,"Perlenbacher / Lidl Pilsener 6 x 0,33 L",2.69,100 ml,"XXL 8er Packung, 8 x 0,5l",lidl,0.067
11,Osem Flachkräcker aus Vollkorn,0.59,100 Gramm,Packung 200 Gramm,lidl,0.3
12,Grafschafter Knäckebrot Roggen Vollkorn,0.49,100 Gramm,Packung 250 Gramm,lidl,0.2
13,"Coquette Hühner Nudeltopf mit Huhn, Nudeln und Gemüse",0.89,100 Gramm,Dose 800 Gramm,lidl,0.11100000000000002
14,Dulano Kochhinterschinken,1.39,100 Gramm,Packung 200 Gramm,lidl,0.7
15,"Landliebe Landkäse Original, 50 % Fett",1.59,100 Gramm,Packung 175 Gramm,lidl,0.91
16,Rama Margarine Classic,1.79,100 Gramm,Becher 500 Gramm + 50g mehr Inhalt,lidl,0.325
17,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,lidl,0.96
18,"Dulano Bayerischer Leberkäse Fein, 2 x 200 g",2.29,100 Gramm,Packung 400 Gramm,lidl,0.5730000000000001
19,Salumeo Salami Spianata Romana,1.69,100 Gramm,Packung 100 Gramm,lidl,1.69
20,Zott Monte Butterkeks Zwei Kammer Becher,0.59,100 Gramm,Packung 125 Gramm,lidl,0.47
21,"Trattoria Alfredo Steinofen Pizza 3-er Margherita, 3 x 300 g",1.99,100 Gramm,Packung 900 Gramm,lidl,0.22
22,"Grillmeister Toni / Lidl Grillkäse mit herzhaftem Emmentaler, 4 x 70 g",1.79,100 Gramm,Packung 280 Gramm,lidl,0.64
23,Alpengut / Lidl Münchner Weisswurst inkl. 3 x17 g Beutel Weißwurstsenf,1.99,100 Gramm,Packung 351 Gramm,lidl,0.57
24,Grafenhof / Lidl Junge Deutsche Ente HKL A,6.69,100 Gramm,Folie 2.3 KG,lidl,0.29100000000000004
25,Favorina / Lidl Mini Marzipan Butter Stollen,2.29,100 Gramm,Packung 350 Gramm,lidl,0.654
